OBJECTID,NAME,Longitude,Latitude,Coordinates,LINE,NOTES
1,Astor Pl,-73.99106,40.730054,"40.730054, -73.99106",4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
2,Canal St,-74.00019,40.718803,"40.718803, -74.00019",4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
3,50th St,-73.98384,40.761727,"40.761727, -73.98384",2-Jan,"1-all times, 2-nights"
4,Bergen St,-73.9749,40.68086,"40.68086, -73.9749",2/3/04,"4-nights, 3-all other times, 2-all times"
5,Pennsylvania Ave,-73.89488,40.664714,"40.664714, -73.89488",4-Mar,"4-nights, 3-all other times"
6,238th St,-73.90087,40.884667,"40.884667, -73.90087",1,"1-all times, exit only northbound"
7,Cathedral Pkwy (110th St),-73.95806,40.800581,"40.800581, -73.95806",A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights"
8,Kingston - Throop Aves,-73.94085,40.679918,"40.679918, -73.94085",A-C,"A-nights, C-all other times"
9,65th St,-73.89878,40.749719,"40.749719, -73.89878",E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
10,36th St,-73.92901,40.75196,"40.751960, -73.92901",E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
11,Delancey St - Essex St,-73.9874,40.718306,"40.718306, -73.98740",J-M-Z,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound"
12,Van Siclen Ave,-73.89165,40.678028,"40.678028, -73.89165",J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
13,Norwood Ave,-73.87962,40.68152,"40.681520, -73.87962",J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
14,104th-102nd Sts,-73.84443,40.695165,"40.695165, -73.84443",J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
15,DeKalb Ave,-73.98177,40.690648,"40.690648, -73.98177",B-D-N-Q-R,"B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times"
16,Beach 105th St,-73.82758,40.583268,"40.583268, -73.82758",A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
17,Beach 90th St,-73.81365,40.588091,"40.588091, -73.81365",A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
18,Freeman St,-73.89175,40.829987,"40.829987, -73.89175",5-Feb,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
19,Intervale Ave,-73.89661,40.822142,"40.822142, -73.89661",5-Feb,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
20,182nd-183rd Sts,-73.90074,40.856092,"40.856092, -73.90074",B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
21,174th-175th Sts,-73.91013,40.845899,"40.845899, -73.91013",B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
22,167th St,-73.91843,40.833768,"40.833768, -73.91843",B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
23,Mets - Willets Point,-73.84562,40.754621,"40.754621, -73.84562",7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
24,Junction Blvd,-73.86952,40.749144,"40.749144, -73.86952",7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
25,Flushing - Main St,-73.83,40.75959,"40.75959, -73.8300",7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
26,Buhre Ave,-73.83256,40.846809,"40.846809, -73.83256",6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
27,3rd Ave - 138th St,-73.92613,40.810476,"40.810476, -73.92613",6-6 Express,"6-all times, 6 Express-weekdays AM southbound, PM northbound"
28,Castle Hill Ave,-73.85122,40.834254,"40.834254, -73.85122",6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
29,Brooklyn Bridge - City Hall,-74.00413,40.713064,"40.713064, -74.00413",4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
30,Zerega Ave,-73.84703,40.836488,"40.836488, -73.84703",6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
31,Grand Central - 42nd St,-73.97671,40.751807,"40.751807, -73.97671",4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
32,33rd St,-73.98207,40.74608,"40.746080, -73.98207",4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
33,96th St,-73.95107,40.785671,"40.785671, -73.95107",4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
34,77th St,-73.95987,40.77362,"40.773620, -73.95987",4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
35,Chauncey St,-73.91038,40.682851,"40.682851, -73.91038",J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
36,Union St,-73.9831,40.677315,"40.677315, -73.98310",D-N-R,"D,N-nights, R-all other times"
37,Elmhurst Ave,-73.88203,40.74237,"40.742370, -73.88203",E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
38,Ralph Ave,-73.9207,40.67882,"40.67882, -73.9207",A-C,"A-nights, C-all other times"
39,Pelham Pkwy,-73.86748,40.857192,"40.857192, -73.86748",5-Feb,"2-all times, 5-rush hours AM southbound, PM northbound"
40,Gun Hill Rd,-73.8661,40.87783,"40.87783, -73.8661",5-Feb,"2-all times, 5-rush hours AM southbound, PM northbound"
41,Nereid Ave (238 St),-73.85431,40.898286,"40.898286, -73.85431",5-Feb,"2-all times, 5-rush hours AM southbound, PM northbound"
